date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:38	78917/78917	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2010:13:38%20GMT	https://givemenbastreams.com/nba/fifa-live-stream	C:/Users/matth/Documents/Cloned%20Websites/https___givemenbastreams.com_nba_fifa-live-stream/givemenbastreams.com/nba/fifa-live-stream.html	(from )
18:39:38	307/307	---MC-	302	error ('Found')	text/html	date:Wed,%2023%20Nov%202022%2010:39:45%20GMT	https://givemenbastreams.com/robots.txt		(from )
18:39:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202022%2010:39:45%20GMT	http://givemenbastreams.com/public/images/nba.png	C:/Users/matth/Documents/Cloned%20Websites/https___givemenbastreams.com_nba_fifa-live-stream/givemenbastreams.com/public/images/nba.1.delayed	(from https://givemenbastreams.com/nba/fifa-live-stream)
18:39:39	7833/7833	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Sep%202020%2019:20:37%20GMT	https://givemenbastreams.com/public/images/nba.png	C:/Users/matth/Documents/Cloned%20Websites/https___givemenbastreams.com_nba_fifa-live-stream/givemenbastreams.com/public/images/nba.png	(from https://givemenbastreams.com/nba/fifa-live-stream)
18:39:39	9511/9511	---MCZ	200	added ('OK')	text/css	date:Mon,%2014%20Sep%202020%2019:20:37%20GMT	https://givemenbastreams.com/public/css/app.css	C:/Users/matth/Documents/Cloned%20Websites/https___givemenbastreams.com_nba_fifa-live-stream/givemenbastreams.com/public/css/app.css	(from https://givemenbastreams.com/nba/fifa-live-stream)
18:39:39	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/matth/Documents/Cloned%20Websites/https___givemenbastreams.com_nba_fifa-live-stream/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://givemenbastreams.com/nba/fifa-live-stream)
18:39:40	11440/11440	---M-Z	200	added ('OK')	application/javascript	etag:W/%22-375139978%22	http://s10.histats.com/js15_as.js	C:/Users/matth/Documents/Cloned%20Websites/https___givemenbastreams.com_nba_fifa-live-stream/s10.histats.com/js15_as.js	(from https://givemenbastreams.com/nba/fifa-live-stream)
18:39:41	307/307	---MC-	302	error ('Found')	text/html	date:Wed,%2023%20Nov%202022%2010:39:47%20GMT	https://givemenbastreams.com/nba/GET	C:/Users/matth/Documents/Cloned%20Websites/https___givemenbastreams.com_nba_fifa-live-stream/givemenbastreams.com/nba/GET	(from https://givemenbastreams.com/nba/fifa-live-stream)
18:39:41	9542/9542	---M--	200	added ('OK')	image/jpeg	etag:%22ec43e2e5cda2c56fc34289ddd3a5cb26%22	https://i.imgur.com/NL3BScm.jpeg	C:/Users/matth/Documents/Cloned%20Websites/https___givemenbastreams.com_nba_fifa-live-stream/i.imgur.com/NL3BScm.jpg	(from https://givemenbastreams.com/nba/fifa-live-stream)
18:39:42	984/984	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2014%20Sep%202020%2019:20:37%20GMT	https://givemenbastreams.com/public/js/app.js	C:/Users/matth/Documents/Cloned%20Websites/https___givemenbastreams.com_nba_fifa-live-stream/givemenbastreams.com/public/js/app.js	(from https://givemenbastreams.com/nba/fifa-live-stream)
